id,analisis,certificado,ot,tipo,producto,codigo,lote,Fecha,C,N,N-NH4,N-NO3,N-org,N-ur,P,K,CaO,MgO,S,B,Co,Cu,Fe,Mn,Mo,SiO2,Zn,Na,Enterobacterias,salmonella,coliformes totales,helmintos,mb5,arsenico,cadmio,cromo,mercurio,niquel,plomo
,amb,26949,,pf,bioz,bioz,30092024,,,,,,,,,,,,,,,,,,,,,,<10,ausencia,,,,<0.05,<0.25,<2.5,<5,0.76,<5
,cc,35836,,mp,sam g,,91024,,,12.66,12.66,,,,,,,,14.8,,,,,,,,,,,,,,,,,,,,
,cc,35789,,pf,bioz,bioz,30092024,,24.37,1.67,,,1.67,,3.09,2.63,0.4,0.86,0.174,0.002,<0.00005,0.002,0.027,0.017,<0.0005,2.45,0.009,0.02,,,,,,,,,,,
,cc,35752,,pf,calfer floracion,,260924,,,9.17,6.03,3.15,,,25.355,11.22,,1.9,3.65,0.04,0.003,0.02,0.04,0.06,0.008,0.26,0.03,1.57,,,,,,,,,,,
,cc,35751,,pf,ferticorrectivo,,250924,,,,,,,,9.38,0.13,18.52,7.87,5.92,,,,,,,17.45,,,,,,,,,,,,,
,cc,35750,,pf,sulfato zinc,993,250924,,,,,,,,,,,,14.79,,,,,,,,33.05,,,,,,,<0.05,2.66,<2.50,<5,1.33,<5
,cc,35749,,pf,nucleo n,65-n,65250924,,,,,,,,,,19.4,18.7,3.24,,,,,,,18.38,,,,,,,,,,,,,
,amb,28457,,pf,k2k,300,300270225,,,,,,,,,,,,,,,,,,,,,,<10,ausencia,<1.8,<1,,,,,,,
,amb,27863,,mp,carbono organico,,22025,,,,,,,,,,,,,,,,,,,,,,<10,ausencia,<1.8,<1,,,,,,,
,amb,27738,,pf,raifos20,155,155140325,,,,,,,,,,,,,,,,,,,,,,<10,ausencia,<1.8,<1,,,,,,,
,cc,35837,,pf,nucleo 4,65,65081024,241008,,,,,,,,,18.79,19.69,3.03,,,,,,,19.69,,,,,,,,,,,,,
,cc,37130,,pf,ferticorrectivo,,250022025,,,,,,,,,,17.3,14.92,2.62,,,,,,,24.91,,,,,,,,,,,,,
,cc,36832,,pf,10-30-10,,7112024,,,8.93,8.35,,,0.58,26.43,9,,,,,,,,,,,,,,,,,,,,,,,
,cc,36833,,pf,10-20-20,,7112024,,,9.05,5.53,,,3.52,17.32,19.27,,,,,,,,,,,,,,,,,,,,,,,
,cc,36834,,pf,13-5-27,,7112024,,,13.39,4.58,,,8.81,5.26,27.52,,,,,,,,,,,,,,,,,,,,,,,
,cc,36598,,pf,nucleo 4,65,65031224,241231,,,,,,,,,13.64,19.39,3.22,,,,,,,24.18,,,,,,,,,,,,,
,cc,36599,,pf,nucleo 4,65,65291124,241129,,,,,,,,,18.09,18.13,3.28,,,,,,,23.78,,,,,,,,,,,,,
,cc,36388,,pf,nucleo 4,65,65131124,241113,,,,,,,,,18.02,18.87,3.28,,,,,,,22.69,,,,,,,,,,,,,
,cc,36389,,pf,nucleo 4,65,65201124,241120,,,,,,,,,17.74,18.86,3.3,,,,,,,20.93,,,,,,,,,,,,,
,cc,36216,,pf,nucleo 4,65,65071124,241107,,,,,,,,,16.69,18.95,3.95,,,,,,,28.46,,,,,,,,,,,,,
,cc,36141,,pf,nucleo 4,65,65311024,241031,,,,,,,,,18.2,19.6,3.92,,,,,,,17.71,,,,,,,,,,,,,
,cc,36137,,mp,sam,,31024,,,18.67,18.67,,,,,,,,25.1,,,,,,,,,,,,,,,,,,,,
,cc,36138,,mp,sam,,131024,,,19.98,19.98,,,,,,,,20.2,,,,,,,,,,,,,,,,,,,,
,cc,36139,,pf,sam granulado,,311024,,,13.7,13.7,,,,,,,,15,,,,,,,,,,,,,,,,,,,,
,cc,36140,,pf,sam granulado,,291024,,,19.33,19.33,,,,,,,,20.1,,,,,,,,,,,,,,,,,,,,
,cc,35979,,pf,nucleo 4,65,65221024,241022,,,,,,,,,17.92,24.46,3.55,,,,,,,19.2,,,,,,,,,,,,,
,cc,35927,,pf,nucleo 4,65,65161024,241016,,,,,,,,,19.17,15.57,3.42,,,,,,,23.3,,,,,,,,,,,,,
,cc,37317,,pf,10-30-10,,120325,,,8.99,4.26,,,4.43,23.89,11.39,,,,,,,,,,,,,,,,,,,,,,,
,cc,37318,,pf,10-20-20,,120325,,,8.77,2.36,,,6.41,15.71,17.95,,,,,,,,,,,,,,,,,,,,,,,
,cc,37316,,pf,raifos20,155,140325,,5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cc,37315,,pf,nucleo fosforo 10,679,130325,,,,,,,,10.79,,26.59,3.3,5.47,,,,,,,,,,,,,,,0.69,2.31,109.01,<5,,<5
,cc,37314,,pf,sulfato de calcio P,141,130325,,,,,,,,,,27.27,,16.63,,,,,,,,,,,,,,,1.07,<0.25,28.28,<5,,<5
,cc,37313,,pf,nucleo fosforo 10,679,130325,,,,,,,,10.87,,26.82,3.32,5.18,,,,,,,,,,,,,,,,,,,,
,cc,37312,,pf,sulfato calcio p,141,130325,,,,,,,,,,23.35,,14.24,,,,,,,,,,,,,,,,,,,,
,cc,37243,,pf,nucleo magnesio-s,208,208050325,,,,,,,,,,,16.5,5.96,,,,,,,,,,,,,,,0.75,0.25,212.61,<5,,<5
,cc,37242,,pf,sulfato calcio p,141,141050325,,,,,,,,,,21.06,,15.18,,,,,,,,,,,,,,,1.19,<0.25,52.24,<5,,<5
,cc,37241,,pf,nucleo camasi gris,62,62050325,,,,,,,,,,12.25,2.52,1.28,,,,,,,34.82,,,,,,,,1.24,<0.25,98.21,<5,,<5
,cc,37240,,pf,calferzinc p,993,150050325,,,,,,,,0.23,,,,6.29,,,,,,,,12.81,,,,,,,0.88,0.94,106.31,<5,,<5
,cc,38378,,mp,mp sam,,140425,,,20.08,20.08,,,,,,,,22.97,,,,,,,,,,,,,,,,,,,,
,cc,38377,,mp,mp bentonita roja,,140425,,,,,,,,,,,,,,,,3.22,,,58.74,,,,,,,,,,,,,
,cc,38378,,pf,nucleo 4,65,65060425,250406,,,,,,,,,14.76,18.03,3.22,,,,,,,20.96,,,,,,,,,,,,,
,cc,37877,,pf,nucleo 4,65,65270425,250427,,,,,,,,,15.93,20.72,2.93,,,,,,,19.9,,,,,,,,,,,,,
,cc,37876,,pf,nucleo 4,65,65080525,250808,,,,,,,,,17.04,19.46,2.79,,,,,,,16.3,,,,,,,,,,,,,
,cc,37875,,pf,boro g,123,160525,,,,,,,,,,,,,8.03,,,,,,,,,,,,,,,,,,,
,cc,37874,,pf,calfos,,50525,,,,,,,,20.17,,28.69,,3.98,,,,,,,,,,,,,,,,,,,,
,cc,37873,,pf,boronat,,6052025,,,,,,,,,,,,,9.77,,,,,,,,,,,,,,,,,,,
,cc,37501,,mp,carbono organico,,22025,,27.11,1.03,,,1.03,,2.5,1.21,12.18,1.38,0.75,,,,,,,7.13,,,,,,,,0.45,0.81,24.13,<5,85.12,9.12
,cc,37319,,pf,raifos20,155,140325,,5.26,0.72,0.44,,0.28,,20.26,0.71,24.4,5.15,1.41,,,,,,,13.34,,0.14,,,,,,0.97,6.32,181.74,<5,287.95,<5
,cc,38388,,pf,nucleo camasi rojo,452,452070325,,,,,,,,,,10.77,2.97,1.16,,,,,,,35.77,,,,,,,,<0.25,<0.25,89.02,<5,69.23,<5
,cc,38387,,pf,boro granulado,123,123060225,,,,,,,,,,,,,2.88,,,,,,,,,,,,,,<0.25,<0.25,129.25,<5,244.15,<5
,cc,38386,,mp,DAP,,140425,,,16.06,16.06,,,,46.4,,,,,,,,,,,,,,,,,,,,,,,,
,cc,38385,,mp,sam,,140425,,,19.97,,,,,19.97,,,,24.26,,,,,,,,,,,,,,,,,,,,
,cc,38384,,mp,kcl g,144,140425,,,,,,,,,51.6,,,,,,,,,,,,,,,,,,,,,,,
,cc,38383,,mp,azufre m100,,140425,,,,,,,,,,,,96.43,,,,,,,,,,,,,,,,,,,,
,cc,38382,,mp,sulfato de calcio,5,140425,,,,,,,,,,16.91,,8.94,,,,,,,,,,,,,,,,,,,,
,cc,38381,,mp,map,,140425,,,10.61,10.61,,,,54.37,,,,,,,,,,,,,,,,,,,,,,,,
,cc,38380,,mp,carbonato calcio,105,,,,,,,,,,,36.68,,,,,,,,,,,,,,,,,,,,,,
,cc,38379,,mp,patenkali,,140425,,,,,,,,,29.95,,9.53,16.06,,,,,,,,,,,,,,,,,,,,
,cc,38396,,mp,nucleo camasi gris,62,62210425,,,,,,,,,,12.25,2.14,1.17,,,,,,,27.83,,,,,,,,<0.25,<0.25,26.14,<5,9.59,<5
,cc,38395,,pf,nucleo camasi yara,491,491070425,,,,,,,,,,19.01,5.43,1.18,,,,,,,24.47,,,,,,,,0.44,<0.25,129.25,<5,193.21,<5
,cc,38394,,pf,calferzinc p p,993,140425,,,,,,,,0.09,,,,8.45,,,,,,,,18.14,,,,,,,<0.25,0.43,18.67,<5,152.38,<5
,cc,38393,,pf,nucleo magnesio silicio,208,558020425,,,,,,,,,,,30.26,1.14,,,,,,,34.26,,,,,,,,0.4,<0.25,351.82,<5,1037.47,<5
,cc,38392,,pf,nucleo fosforo 10,679,679080425,,,,,,,,10.96,0.3,26.6,2.17,5.6,,,,,,,,,,,,,,,<0.25,2.47,83.28,<5,130.42,<5
,cc,38391,,pf,nucleo magnesio-s,208,208190225,,,,,,,,,,,17.83,6.81,,,,,,,,,,,,,,,<0.25,<0.25,169.44,<5,488.22,<5
,cc,38390,,pf,zuelo-ca,160,100225,,,,,,,,,0.34,18.7,8.03,5.3,0.78,,,,,,16.53,,,,,,,,0.36,1.42,140.73,<5,299.96,<5
,cc,38389,,pf,nucleo fosforo 10,679,574260325,,,,,,,,21.35,,,,,,,,,,,,,,,,,,,<0.25,19.22,157.95,<5,183.76,<5
,cc,38864,,mp,kieserita,74,10825,,,,,,,,,,,30.18,18.23,,,,,,,,,,,,,,,,,,,,
,cc,38860,,pf,25-4-24,82,250725,,,21.91,1.22,,,20.69,5.32,17.28,,,,,,,,,,,,,,,,,,,,,,,
,cc,38861,,pf,15-15-15,,290725,,,34.1,4.48,,,29.62,12.32,14.86,,,,,,,,,,,,,,,,,,,,,,,
,cc,38862,,pf,17-6-18-2-1,,300725,,,23.14,2.55,,,20.6,6.49,17.12,,,,,,,,,,,,,,,,,,,,,,,
,cc,38863,,pf,18-18-18,,310725,,,14.22,4.85,,,9.37,13.57,9.61,,,,,,,,,,,,,,,,,,,,,,,
,cc,38859,,pf,nucleo magnesio-s,208,208180325,,,,,,,,,,,13.89,6.27,,,,,,,,,,,,,,,,,,,,
,cc,38639,,pf,k2k,300,300270225,,5.02,,,,,,,23.15,5.07,2.5,2.94,,,,,,,14.03,,0.65,,,,,,0.58,0.31,28.78,<5,51.4,<5
,cc,38637,,mp,carbonato de calcio,105,105040325,,,,,,,,,,39.66,,,,,,,,,,,,,,,,,,,,,,
,cc,38638,,mp,carbonato de calcio,105,105020425,,,,,,,,,,39.51,,,,,,,,,,,,,,,,,,,,,,
,cc,38408,,mp,bentonita gris rara,,725,,,,,,,,,,0.5,0.45,0.48,,,,,,,51.64,,,,,,,,,,,,,
,cc,38407,,pf,sulfato de calcio g,141,230724,,,,,,,,,,23.74,,13.39,,,,,,,,,,,,,,,,,,,,
,cc,383977,,pf,nucleo camasi yara,491,491070425,,,,,,,,,,19.8,5.43,1.23,,,,,,,25.8,,,,,,,,,,,,,
,cc,39156,,pf,nucleo 4,65,65120625,250612,,,,,,,,,16.77,18.48,3.29,,,,,,,15.6,,,,,,,,,,,,,
,cc,39157,,pf,nucleo 4,65,65050825,250805,,,,,,,,,18.03,18.39,3.51,,,,,,,20.18,,,,,,,,,,,,,
,cc,39158,,pf,nucleo 4,65,65250925,250925,,,,,,,,,15.72,15.59,3.42,,,,,,,23.14,,,,,,,,,,,,,
,cc,39159,,pf,nucleo 4,65,65061025,251006,,,,,,,,,16.86,17.08,3.32,,,,,,,22.97,,,,,,,,,,,,,
